Company,Position,Connected On
Electronic Arts (EA),Engineering Development Manager,20-Feb-20
Shell,Digital Opportunities Manager,13-Feb-20
SEALEAU B.V.,Project Manager,9-Feb-20
MITYUNG,Sr. Manager : Sales & Marketing,3-Feb-20
Infosys,Senior Associate Consultant,2-Feb-20
UNSW Business School,Student,8-Jan-20
Cyril Amarchand Mangaldas,Associate,25-Dec-19
ABV-Indian Institute of Information Technology and Management,Placement Representative,21-Dec-19
Shell,Lead Solutions Architect,21-Dec-19
KPMG India,SAP Analyst,16-Dec-19
Target,TA Sourcing,29-Nov-19
Shell,Technical Lead (Hybrid Developer ) - Retail Downstream,19-Nov-19
Shell,Senior Software Engineer - Lead,18-Nov-19
NovAzure Consulting,Managing Director,15-Nov-19
Crealytics,Digital Marketing Manager,1-Nov-19
Google,Software Engineer,5-Oct-19
Wayfair,Data Scientist,22-Sep-19
Confidential,Lead Consultant,19-Sep-19
Cisco,Software Developer,19-Sep-19
Philip Morris International,Digital Workplace Intern,17-Sep-19
OSB India Private Limited,IT Risk Assurance Officer,21-Aug-19
Tata Consultancy Services,System Engineer,21-Aug-19
Oracle,Application Developer,21-Aug-19
Tvilight Smart City Lighting,CEO,19-Aug-19
ABN AMRO Bank N.V.,Impact Measurement Professional (Group Innovation),7-Aug-19
VIT University chennai,Professor,7-Aug-19
Wells Fargo,Release Management ,30-Jul-19
Shell,Service Assurance Analyst IT Operations,26-Jul-19
Hiranandani Group,Graduate Engineering Trainee,22-Jul-19
GIGA Storage,Data Analyst,22-Jul-19
Indus Valley Partners,Senior Software Engineer,20-Jul-19
Createn,Digital Marketing Intern,19-Jul-19
Conduent Labs (Erstwhile Xerox Research Center) ,Researcher,19-Jul-19
World Startup Factory,Intern,9-Jul-19
Amazon,Program Manager - Long Term Strategy and Network Planning,5-Jul-19
Exact,Product Strategy Analyst Intern,29-Jun-19
Britannia Industries Limited,Production Planning and Factory Cost Control Officer,29-Jun-19
Archimaze,Senior Content Writer,29-Jun-19
Ron's Lawn Care & Outdoor Maintenance,President,24-Jun-19
The Art of 400 Online Toastmasters Club 70,Treasurer,22-Jun-19
Accenture,Senior Software Engineer,18-Jun-19
Nazaakat,Founder,18-Jun-19
Hive.id,Co-Founder & CEO at Hive.id,18-Jun-19
Skellam Ai,Machine Learning Engineer,18-Jun-19
"Indian Institute of Technology, Delhi",Graduate Teaching Assistant,14-Jun-19
Philips,Product UX Designer,14-Jun-19
talabat,Account Manager - Abu Dhabi,14-Jun-19
Luminati.io,Business Development Manager,14-Jun-19
Cognizant,Programmer Analyst ,14-Jun-19
MiQ Digital India,Business Analyst-II,14-Jun-19
Société Générale,Software Engineer,6-Jun-19
Johnson Controls,Senior Data Engineer,25-May-19
,,22-May-19
Self Employed,Recruitment Consultant,21-May-19
Eduquity,Chief Technology Officer,21-May-19
DemystifyLI: Your LinkedIn Brand Building Companion,Founder & Chief Demystifier,21-May-19
Innovation and Entrepreneurship Development Cell | IEDC CET,Chief Technical Officer,21-May-19
JPMorgan Chase & Co.,SEP software Engineer II,10-May-19
Khoros,Quality Engineer II,4-May-19
Wetenschappelijk Onderzoek- en Documentatiecentrum (WODC),Graduation Project,22-Apr-19
,,16-Apr-19
Shell,Business Analyst,16-Apr-19
Facebook,Software Engineering Manager,15-Apr-19
ZS,Decision Analytics Associate,1-Apr-19
Philips,"Procurement Engineering (Excellence), Male Grooming, Personal Health",30-Mar-19
Shell,Data Analyst,14-Feb-19
UnitedHealth Group,Associate Data Scientist ,4-Feb-19
Microsoft,Associate Consultant,4-Feb-19
Future Job Services,Human Resources Executive,22-Jan-19
,,18-Jan-19
Vectra LLC,Machine Learning Engineer,18-Jan-19
Shell,EVP & Group CIO,16-Jan-19
Apple,Design Verification Engineer,10-Jan-19
Marvell Semiconductor,Hardware Validation Engineer,9-Jan-19
EdLocus Solutions Private Limited,Managing Director,9-Jan-19
IBM,Senior Consultant,7-Jan-19
BlackRock,DataOps Engineer,3-Jan-19
Shell,Digital Product Manager,3-Jan-19
Tata Trusts,District Head/Consultant,17-Dec-18
Ludlow Street Healthcare Group,Support Worker,15-Dec-18
Shell,Digital Manager- Asia Pacific MD markets,30-Nov-18
ISRO - Indian Space Research Organisation,Research Project Intern,22-Nov-18
DXC Technology,Senior Lead,17-Nov-18
Pearson,Senior machine coordinator,17-Nov-18
,,26-Oct-18
Shell,Software Engineer,24-Sep-18
Alstom,Application Engineer,16-Sep-18
Information Sciences Institute,Graduate Student Researcher,11-Sep-18
netzeffekt GmbH - joining forces with Jung von Matt,Junior Data Scientist and Tracking Expert,3-Sep-18
Cisco,Network Consulting Engineer,19-Aug-18
ftcash,Business Development Associate,10-Aug-18
Microsoft,Software Engineer,7-Aug-18
Shell,Instrument Engineer - Integrated Gas,7-Aug-18
Fintech start-up ( stealth mode ),HR Manager,25-Jul-18
Shell,Product Manager - Convenience Retail,17-Jul-18
Amazon,Software Engineer,17-Jul-18
Mu Sigma Inc.,Trainee decision scientist,17-Jul-18
LIS Nepal Pvt. Ltd.,Business Intelligence Engineer,17-Jul-18
"DON'TUSETHISCODE, LLC",Full Stack Engineer,20-Jun-18
Apple,Database Architect,16-Jun-18
Barclays,Senior Developer,15-Jun-18
THEO Technologies,Software Engineer (Core playback),5-Jun-18
DataCamp,Co-founder,4-Jun-18
McAfee,Software Development Engineer,1-Jun-18
Microsoft,Senior Program Manager,28-May-18
Trafigura,Deals Desk Analyst,24-May-18
Neural Machine,Editor,23-May-18
Amazon,DevOps Engineer,22-May-18
Singapore University of Technology and Design (SUTD),Research Intern,22-May-18
Postman,Product Designer,10-May-18
IBM,SAP Business Analytics Architect( BW4HANA|BW|HANA|BPC|BO|Analytics),8-May-18
Siemens,"Research Topic Owner ""Confidentiality, Edge Integration and Performance of DLTs""",6-May-18
IBM,Data Scientist,6-May-18
Beekeeper,Senior Software Engineer,4-May-18
Expand My Business (ExMyB),Founder,4-May-18
BigDataLogin,Co-Founder  BigDataLogin,4-May-18
Konsultera Solutions Pvt. Ltd.,Python Developer,3-May-18
EY,Analyst,30-Apr-18
Barclays,Developer,30-Apr-18
HighRadius,Associate Software Engineer ll,8-Apr-18
BlackRock,Analyst,8-Apr-18
VIT_Vellore Institute of Technology ,student at vit vellore,8-Apr-18
ThoughtsDigital,Robotic Process Automation|Blockchain|Artificial Intelligence|Data Analytics| Machine Learning,8-Apr-18
,,8-Apr-18
Amazon Web Services (AWS),Senior Scientist,8-Apr-18
,,8-Apr-18
VIT University (Chennai Campus),PhD scholar- SENSE,8-Apr-18
Hy.ly,Regional Sales and Business Development,4-Apr-18
Barclays,Graduate Analyst ,23-Mar-18
Virtusa,Associate Engineer,12-Mar-18
Stealth Startup,Co-Founder,2-Mar-18
H2 (h2.co),Global Chapter Chair ,21-Feb-18
Target,Senior Director Of Technology,17-Feb-18
Swiggy,Analyst,17-Feb-18
mPokket,Senior Software Engineer,16-Feb-18
Esense IT Solution Pvt. Ltd.,iOS application and Game Developer,16-Feb-18
Self-employed,Consultant & Business Developer,16-Feb-18
Wipro Digital,Project Engineer,13-Feb-18
KAYTEK COMPUTER SERVICES PVT. LTD.,Owner,1-Feb-18
Fractal,Consultant - Advanced Analytics,23-Jan-18
,,22-Jan-18
Gojek,Product Engineer,18-Jan-18
Guavus,Senior Manager - Global Talent Acquisition,18-Jan-18
QikPod,Founder & CEO,17-Jan-18
QNB Group,Head of Compliance and internal control,17-Jan-18
,,17-Jan-18
Intel Corporation,SOC - DFD validation engineer ,14-Jan-18
Stealth,Growth Product Manager,14-Jan-18
Rackspace Technology,Software Developer - III,12-Jan-18
Black Turtle,Senior Consultant,12-Jan-18
Cisco,Software Development Engineer In Test,12-Jan-18
Softtek,Software Associate,12-Jan-18
,,12-Jan-18
DBS Bank,Assistant Vice President,12-Jan-18
Poornima University,Student,12-Jan-18
Confidential ,Business Development Head,12-Jan-18
Staffing Ideas LLP,Partner,12-Jan-18
,,12-Jan-18
Jumbotail,Software Engineer,12-Jan-18
Fluper,"Node js , PHP developer",12-Jan-18
Cisco,Software Engineer,12-Jan-18
Samsung Research Institute,General Manager,12-Jan-18
Self-Employed,student,12-Jan-18
Velociraptor Racing,Team Captain,12-Jan-18
,,12-Jan-18
Nexweave - Interactive Content Personalization Delivered at Scale,Vice President Of Technology,12-Jan-18
NTT DATA Services,Training Manager,12-Jan-18
Ninjacart,Head - Inbound Logistics,12-Jan-18
,,12-Jan-18
Newgen Software Technology,Software Developer,12-Jan-18
,,12-Jan-18
Siemens Technology India,Software Developer,12-Jan-18
Knowledge Lens,Principal Architect - Pharmaceutical & AWS Site Reliability Engineering Team Lead,12-Jan-18
Japan Infra Waymark Corp,Artificial Intelligence Engineer,12-Jan-18
New York University,Teaching Assistant,12-Jan-18
Prahars Solutions,Recruitment  & Digital Marketing Head,12-Jan-18
Sterling and Wilson,Deputy Manager,12-Jan-18
Blue Berry Pvt Ltd,Talent Acquisition Specialist,12-Jan-18
MILLIONQSOLUTIONS,Software Engineer,12-Jan-18
CutShort,Recruiter,12-Jan-18
Teacherr,Co-Founder,12-Jan-18
Confidential,Visual Designer,12-Jan-18
Encora Inc.,Technical Lead,12-Jan-18
"Techfest, IIT Bombay",Internship as Campus Ambassador,12-Jan-18
"GUVI Geek Networks, IITM Research Park",Student Intern,12-Jan-18
University of Aberdeen,Masters Student,12-Jan-18
Danske Bank,Associate Software Engineer,12-Jan-18
GE Power,Senior Processes & Tools IT Director,12-Jan-18
HCL Technologies,Data Scientist,12-Jan-18
Vel Tech HighTech Dr.Rangarajan Dr.Sakunthala Engineering College,Associate Professor,12-Jan-18
Bikayi,Software Developer,12-Jan-18
eQ Technologic,Software Engineer,12-Jan-18
GreyAtom,Co-Founder - Chief of Learning & Partnerships,12-Jan-18
Servocontrols & Hydraulics (I) Pvt. Ltd,Intern,12-Jan-18
BeingLegends.com,Digital Marketer,12-Jan-18
Qualcomm,Associate Software Engineer,12-Jan-18
School,Office Administrator,12-Jan-18
EWAC ALLOYS LIMITED,Application Specialist,12-Jan-18
Google Developers,Core Team Member at DSC google developers,12-Jan-18
FiniBrain,Intern,12-Jan-18
,,12-Jan-18
Bank of America,Software Engineer I B,12-Jan-18
LatentView Analytics,Analyst,12-Jan-18
BYJU'S ,Associate,12-Jan-18
"Indian Institute of Technology, Delhi",Research Fellow,12-Jan-18
HCL Technologies,Automation Specialist,12-Jan-18
,,12-Jan-18
TeamLease Services Limited,Associate SDE,12-Jan-18
Bank of America,Senior Technical Associate,12-Jan-18
Smiths Group plc,Talent Advisor,12-Jan-18
Amadeus Labs,Software Engineer,12-Jan-18
,,12-Jan-18
,,12-Jan-18
Bharathidasan Institute of Management Tiruchirapalli,"Member - Vyuga at BIM, Trichy ",12-Jan-18
,,12-Jan-18
career technology,Entrepreneur,12-Jan-18
Varroc,Executive Engineer,12-Jan-18
,,12-Jan-18
ZS,Decision Analytics Associate,9-Jan-18
Technofit Solutions LLP,Founder/CEO,9-Jan-18
Infosys,System Engineer,9-Jan-18
,,9-Jan-18
Nutanix,Senior Systems Reliability Engineer,26-Dec-17
MBA Crystal Ball,"Founder | GMAT MBA Admissions Consultant, Career Counselor",6-Dec-17
NexGeno,Chief Operating Officer,6-Dec-17
Dubai Airports,BI Consultant,6-Dec-17
Wipro Digital,Project Engineer,5-Dec-17
VIT Chennai,"Professor, VIT Business School",30-Nov-17
JPMorgan Chase & Co.,Investment Banking Analyst,29-Nov-17
BUIDL Labs,Partner,27-Nov-17
Good Life Begin,owner and founder,16-Nov-17
EXL,Data Engineer,9-Nov-17
Shell,Software Engineer,8-Nov-17
IBM,Advisory System Analyst,7-Nov-17
IBM,Problem Management,7-Nov-17
New York University,Teaching Assistant,7-Nov-17
ZS,Buisness Technology Associate,7-Nov-17
Infosys,Software Engineer,7-Nov-17
Sasken Technologies Limited,Senior Research Engineer || Machine Learning and Computer Vision,5-Nov-17
Shell,Software Engineer,4-Nov-17
"Smart Connect Technologies, Inc.",software Engineer,4-Nov-17
Microsoft,Consultant,4-Nov-17
Classplus ,Lead Business Analyst,4-Nov-17
Khatabook,Operations Manager- BizOps,4-Nov-17
,,4-Nov-17
,,4-Nov-17
Reliance Industries Limited,Manager Talent Acquisition,4-Nov-17
Chennai Petroleum Corp. Ltd (Indian Oil),senior Engg Asst,4-Nov-17
Deloitte India (Offices of the US),Business Technology Analyst,4-Nov-17
Pravaig Dynamics,Engineer,4-Nov-17
b.p.m.c.e madhepura,Engineer,4-Nov-17
DealerSocket,Senior Software Engineer - 2,4-Nov-17
PPTS [India] Pvt Ltd,Techno-functional Odoo,4-Nov-17
,,4-Nov-17
Sociolla,Data Science,4-Nov-17
SMV Infotech Services Pvt Ltd,Web Devloper,4-Nov-17
"Placement Office, IIT Bombay",Internship Coordinator,4-Nov-17
PathPartner Technology,Research And Development Intern,4-Nov-17
Wipro Limited,"Project Engineer (iOS development), CTO office",4-Nov-17
OLX Group,iOS Developer,4-Nov-17
,,4-Nov-17
,,4-Nov-17
Freudenberg Group,Senior Design Engineer,4-Nov-17
Bank of America,Senior Analyst,4-Nov-17
Intel Corporation,Design Verification Engineer(SoC/IP),4-Nov-17
Self employed,Student,4-Nov-17
Nihana trader(ITC Distributer),Marketing Manager,4-Nov-17
HCL Technologies,Cloud Engineer,4-Nov-17
DealerSocket,SDET engineer 1,4-Nov-17
Qruzo - Education through Innovation,Founder,4-Nov-17
Zieta Technologies,"Sap Materials Management  S/4 HANA, HANA 2.0 Consultant",4-Nov-17
REAL METALS,Director,4-Nov-17
VITCFE,Management Trainee,4-Nov-17
HONO.ai,Software Developer,4-Nov-17
Temenos,Automation Engineer,4-Nov-17
Flipkart,Software Engineer,4-Nov-17
INCARNUS TECHNOLOGIES PTE. LTD,Software Engineer,4-Nov-17
Vassar Labs,Business Analyst,30-Oct-17
DXN Internatioanal Private Ltd.,Consultant,30-Oct-17
"IEC Abroad, Chennai",International Education Consultancy,30-Oct-17
Nexgen IT Solutions & Services,Principal Consultant,30-Oct-17
Cuemath,Summer Intern,30-Oct-17
Self-employed,Manager,30-Oct-17
Altran Engineering Solutions (formerly Pricol Technologies Limited),Advanced Staff (HR Specialist),30-Oct-17
Bounce,Development Team Lead,30-Oct-17
Freshworks,Talent Acquisition Specialist,30-Oct-17
Gartner,Product Analyst,30-Oct-17
SenRa,Sr. Solution Delivery Engineer,30-Oct-17
DHL IT Services,RPA ,30-Oct-17
Microchip Technology Inc.,Principal Web Developer,30-Oct-17
AI Australia,CRM Business Analyst ,30-Oct-17
MyHindiNotes,"Co-Founder / Author, Web Researcher",30-Oct-17
"Tatyasaheb Kore Institute of Engineering and Technology, Warananagar",Assistant Professor,30-Oct-17
Sanfoundry,Founder & CTO,30-Oct-17
BDO,Outsourcing Manager,23-Oct-17
BPK Technologies,Software Developer,2-Oct-17
Hewlett Packard Enterprise,Senior Software Engineer,2-Oct-17
Accenture,Applications Developer Senior Analyst,2-Oct-17
Traction on Demand,Senior Developer,2-Oct-17
,,24-Sep-17
Visioneering Solutions Pvt Ltd,Android Developer,24-Sep-17
Bytes & Bots,Director ,24-Sep-17
Hindu College Moradabad,Assistant Professor,24-Sep-17
,,24-Sep-17
GE,Software Engineering Specialist,24-Sep-17
Amazon Music,Quality Assurance Engineer,24-Sep-17
Procter & Gamble,Account Executive,24-Sep-17
Confidential,Information Technology Specialist,24-Sep-17
Constrat- The Consulting and Strategy Consortium of XIMB,shadow member,24-Sep-17
Winuall,SDE 1,24-Sep-17
Hewlett Packard Enterprise,Software Engineer,24-Sep-17
Artech Information Systems,Network Engineer,24-Sep-17
Luxiqe Fashions,Director,24-Sep-17
Berkadia,Treasury Operations Analyst,24-Sep-17
The Hindu,Senior Data Scientist,24-Sep-17
Selec Controls Pvt. Ltd.,Graduate Engineering Trainee,24-Sep-17
,,24-Sep-17
Prayasta 3D Inventions Private Limited,Mechanical Designer,24-Sep-17
BlackRock,Analyst,24-Sep-17
Freelancer,Freelance Android Developer,24-Sep-17
National lignite ,Executive Admin ,24-Sep-17
MAD Works India Pvt Ltd,Digital Marketing Specialist,24-Sep-17
Wipro Limited,Data Scientist,24-Sep-17
Infosys Limited,Senior System Engineer,24-Sep-17
Allscripts,Software Engineer,24-Sep-17
Lotus Global Public School ,Director,24-Sep-17
,,24-Sep-17
Accenture,Technical Recruiter,24-Sep-17
,,24-Sep-17
WiT India (WiT.in),Recruitment Specialist,24-Sep-17
,,24-Sep-17
Infosys,Technology Analyst,24-Sep-17
Mu Sigma Inc.,Trainee Decision Scientist,24-Sep-17
Schneider Electric,IAM-Technical Analyst ,24-Sep-17
Self employed,Startup Manager,24-Sep-17
Phamoss,Founder,24-Sep-17
Nimbal IT Services Pty Ltd,Owner-Director,24-Sep-17
,,24-Sep-17
,,24-Sep-17
MUMMADI INDIA INDUSTRIES PRIVATE LIMITED,Owner/Managing Director,24-Sep-17
Reliance Jio,Software Engineer,24-Sep-17
"study at Vit Vellor,Mechanical engenering",Student,24-Sep-17
Wipro Limited,Project Engineer,24-Sep-17
Nineleaps,Software Developer III,24-Sep-17
Virtusa,Associate Software Engineer,24-Sep-17
Slick,"Founder, Yali",24-Sep-17
Altran,Lead Engineer,24-Sep-17
Appolo Technology,Design Engineer,24-Sep-17
Vellore Institute of Technology,Student,24-Sep-17
"Ameriprise Financial Services, LLC.",Senior Data Engineer,24-Sep-17
Pearson,Senior Manager - Sales,24-Sep-17
Alstom,Analyst,24-Sep-17
Hafele India Private Limited,Territory Manager OEM,24-Sep-17
Akshaya Pvt Ltd,Executive sales and marketing,24-Sep-17
Cerebroz EduTree LLP,Machine Learning Engineer,24-Sep-17
,,24-Sep-17
ON Semiconductor,Data Engineer (Fall Co-op),24-Sep-17
,,24-Sep-17
JNET Technologies Pvt. Ltd.,Delivery Manager,24-Sep-17
Accenture Solutions Private Limited,Operations Analyst,24-Sep-17
MathWorks,Software Engineer In Test,24-Sep-17
IndiaLocalShop,Co-Founder of IndiaLocalShop,24-Sep-17
Amazon,Team Lead,24-Sep-17
Vernacular.ai,Machine Learning Research Engineer,24-Sep-17
Self employed,Student,24-Sep-17
Fractal Analytics,Engineer,24-Sep-17
The Road Runners,Brake Department Engineer ,24-Sep-17
Amazon,Software Development Engineer,24-Sep-17
Embitel Technologies,Senior Software Engineer,24-Sep-17
DSA Self Paced Course,Mentor,23-Sep-17
NexSemi Systems Pvt Ltd,HR Recruitment Manager,12-Sep-17
VIT UNIVERSITY,Asst. Professor at VIT BUSINESS SCHOOL,9-Sep-17
HCL Technologies,Software Engineer,8-Sep-17
Tango Eye ,Chief Operating Officer,7-Sep-17
Crypton Blockchain Services,Associate Consultant,7-Sep-17
Beam Suntory,SAP HANA BW Architect,7-Sep-17
ICICI Bank,Associate Relationship Manager,7-Sep-17
AstraZeneca,Summer Intern,7-Sep-17
Bhabha Atomic Research Centre,Intern,3-Sep-17
Tata Consultancy Services,System Engineer,3-Sep-17
,,28-Aug-17
Rakuten,Software Engineer,26-Aug-17
Samsung R&D Institute India - Noida,Software Engineer,24-Aug-17
Soroco ,Software Engineer,22-Aug-17
Cybeart Inc.,Senior Content Writer,22-Aug-17
VITC Formula Electric,Electrical Engineer,22-Aug-17
Barclays,Software Developer,22-Aug-17
Oracle ,Associate Consultant,6-Aug-17
Amway India Enterprises Private Limited,Vice President Marketing - Wellness,3-Aug-17
Appirio,Intern,2-Aug-17
,,30-Jul-17
Amazon,Software Development Engineer,30-Jul-17
,,30-Jul-17
Kimberly-Clark,"Lead Tech. Architect-Big Data Engg(Cloudera),Azure Cloud, AI/ML & DevOps, MLOps, Stream Analytics",20-Jul-17
"RENAULT NISSAN MITSUBISHI ALLIANCE, INDIA",Software Engineer,20-Jul-17
Self-employed,ngo secretery,20-Jul-17
Temenos,Software Developer,20-Jul-17
Credit Suisse,AVP,18-Jul-17
Deloitte Consulting,Business Technology Analyst,12-Jul-17
Ecomnite Trade Pvt Ltd.,Managing Director,12-Jul-17
GE Aviation,Digital Technology Leadership Program,9-Jul-17
,,9-Jul-17
,,9-Jul-17
IBM India Private Limited,Application Developer,7-Jul-17
Broadridge Financial Solutions (India) Private Ltd,Member Technical,7-Jul-17
Romsons Group of Industries,Supervisor,7-Jul-17
Mentor Graphics,Member Technical Staff,7-Jul-17
Amazon,Associate,7-Jul-17
Bharat Fritz Werner Ltd. (BFW),Assistant Manager Data Analyst,7-Jul-17
"Command Area Development (CAD) Chambal Kota, Rajasthan ",Summer Intern,7-Jul-17
smvec,asst professor,7-Jul-17
IDBI Federal Life Insurance,Advisor,7-Jul-17
Texas A&M University,Graduate Teaching Assistant,7-Jul-17
Continental,HIL Simulation Engineer,7-Jul-17
Advicesync Consulting,Software Developer,7-Jul-17
Microsoft,Software Engineer,4-Jul-17
ZS,Technology Analyst,3-Jul-17
,,3-Jul-17
Xilinx,Design Engineer,3-Jul-17
,,3-Jul-17
Oracle,Cloud Analyst,3-Jul-17
7,Founder & CEO,1-Jul-17
QUALITY ELECTRIC COMPANY,Site Electrical Engineer,28-Jun-17
Neudesic,Consultant II,27-Jun-17
Shiash Info Solutions Private Limited,Internship,27-Jun-17
ICICI Prudential Life Insurance Company Limited,Branch Manager,27-Jun-17
amity university,University Lecturer,26-Jun-17
Codescripti,CEO,26-Jun-17
Indiana University Bloomington,CRM Marketing Data Analyst,24-Jun-17
Adobe,Security Researcher,23-Jun-17
,,23-Jun-17
Clear Watch Security,Team Captain,23-Jun-17
,,23-Jun-17
Shree Garuda Power Solutions,Chief Executive Officer,23-Jun-17
Farmers Insurance,Manager,23-Jun-17
Google Summer of Code,GOOGLE SUMMER OF CODE,23-Jun-17
Himgiri Automobiles,Trainee Supervisor,23-Jun-17
ZS,Associate Consultant - Business Technology Solutions,22-Jun-17
HirePro Consulting Pvt. Ltd.,Associate consultant - campus recruitment,22-Jun-17
"Croma, Infiniti Retail Limited",Senior Marketing Executive,22-Jun-17
system desinging,Owner,22-Jun-17
IHS Markit,Associate Director of Software Engineering,22-Jun-17
,,22-Jun-17
Capillary Technologies,Machine Learning Engineer,22-Jun-17
,,22-Jun-17
Birlasoft,Technical Lead,22-Jun-17
,,19-Jun-17
Artha Solutions,ETL Developer,19-Jun-17
ABB,Data Scientist Consultant,19-Jun-17
Kerala Highway research institute,Civil Engineering Intern,19-Jun-17
YAYAR Tech,Machine Learning Specialist,19-Jun-17
OneWalletHub,CTO & Co-Founder,19-Jun-17
,,19-Jun-17
,,19-Jun-17
Deloitte India (Offices of the US),Senior Data Scientist,19-Jun-17
Bank of America,Software Engineer 1,19-Jun-17
ESAF,Business Banking Officer,19-Jun-17
Darwinbox,Software Development Intern,19-Jun-17
Wolters Kluwer ELM Solutions,Infrastructure Engineer,19-Jun-17
deltaa infocom solutions,credit processing assistant,19-Jun-17
Kingfisher Airlines,aviation professional  QA&QC,19-Jun-17
STL - Sterlite Technologies Limited,Graduate Engineer Trainee,19-Jun-17
Pucho Life Sciences Inc. ,Artificial Intelligence Research Scientist,19-Jun-17
,,19-Jun-17
Accenture,Business Integration Architect Associate Manager SAP BW/HANA,19-Jun-17
Harsco Rail,Advanced Manufacturing Engineer,15-Jun-17
Orcapod,Sr.Consultant,10-Jun-17
MAN Truck & Bus India pvt. Ltd,Assistant Manager,10-Jun-17
BNP Paribas,Bankallhabib,10-Jun-17
Verity Knowledge Solutions Pvt. Ltd.,Investment Banking Analyst,10-Jun-17
SEOClerks,Freelance Writer,7-Jun-17
Cashfree ,Senior Growth Lead,6-Jun-17
Happay - Expense Management Solution for Businesses,Senior Software Engineer,6-Jun-17
,,6-Jun-17
Cisco,Consulting Engineer (Solution Validation),6-Jun-17
Metamorphosis School,Founder,6-Jun-17
Pramati Technologies Private Limited,DevOps Engineer,6-Jun-17
TrickyPhotoshop,Founder,6-Jun-17
PENTAIR WATER INDIA PrivateLimited., Trainee Project Engineer,6-Jun-17
,,6-Jun-17
QuEST Global,Lead Engineer,6-Jun-17
Enverus,Senior Analyst,5-Jun-17
Publicis Sapient,Contingent SDE at Goldman Sachs,31-May-17
KPMG,Senior Associate,30-May-17
Team Shaurya Racing,Powertrain Engineer,26-May-17
UnitedHealth Group,Associate Software Engineer - II,26-May-17
Capriole Construction Company L.L.C.,Document Controller & Assistant Clerk,26-May-17
Ericsson,Graduate Engineering Trainee,26-May-17
Larsen & Toubro,Senior Engineer,26-May-17
,,26-May-17
NARESH INDUSTRIES,Production Manager,21-May-17
ProsperMe,Partner,21-May-17
Togee Technologies,Growth Product Manager,19-May-17
Bee5 Manpower Consulting,Business Partner,19-May-17
PwC India,Associate,18-May-17
Great Learning,Visiting Faculty,18-May-17
VIT University (Chennai Campus),Student,18-May-17
Asian Paints,Area Sales Manager,18-May-17
Cognizant,Programmer Analyst Trainee,18-May-17
"Pyramid Consulting, Inc",Senior Executive,8-May-17
Intel Corporation,Software Engineer,8-May-17
Amazon,Transportation Specialist,8-May-17
Astra Infratech,Project Coordinator,8-May-17
,,8-May-17
The AI buddy,Cheif Artificial Intelligence Engineer,8-May-17
,,8-May-17
Bharat Heavy Electricals Limited,Intern,8-May-17
Flipkart,Software Development Engineer - 2,7-May-17
WHISHWORKS IT Consulting,Manager - CEO's Office (Strategy & Operations),6-May-17
Niagara Bottling,Manufacturing Technology Engineer,6-May-17
Shell Business Operations,Software Engineer,6-May-17
IBM,Associate Developer,6-May-17
HTC Global Services,Intern,6-May-17
Arizona State University - Blockchain Research Lab,IoT - Blockchain Researcher,6-May-17
Magic EdTech,Software Engineer,6-May-17
,,6-May-17
Tata Projects,Country Head,29-Apr-17
Wipro Digital,Project Engineer,29-Apr-17
DHL Supply Chain,Business Development Manager,29-Apr-17
Infosys,Product Development Engineer,29-Apr-17
Tata Consultancy Services,Test Analyst,29-Apr-17
Self-employed,Owner,29-Apr-17
TCS,Assistant System Engineer,29-Apr-17
Admissions Abroad,Managing Director,29-Apr-17
RCPL,Campus Ambassador,29-Apr-17
Kuliza,Senior Software developer,29-Apr-17
Dell,Senior HR Advisor,25-Apr-17
Thermo Fisher Scientific,Business Insights Analyst,22-Apr-17
Shree-tech Power Systems & Services - India,intern,21-Apr-17
Cognizant,Programmer Analyst,21-Apr-17
Tata Consultancy Services,Associate System Engineer,21-Apr-17
McDermott International Inc.,Electrical Engineer,21-Apr-17
PortraitFlip,Founder,21-Apr-17
National Institute of Industrial Engineering,Academic Secretary,21-Apr-17
,,21-Apr-17
,,21-Apr-17
Turvo Inc.,Senior Software Engineer,17-Apr-17
Morgan Stanley,Executive Director,17-Apr-17
Videocon d2h,Intern,16-Apr-17
Space Generation Advisory Council,Member,15-Apr-17
TeacherNI (SDEE) - TNI Career Counselling | TNI EdTech | The New Inspiration,"Sr.  Admissions, Outreach & Applications Associate",15-Apr-17
Cisco,Staffing Recruiter,15-Apr-17
Flipkart,Senior Consultant,14-Apr-17
Microsoft,Software Development Engineer,13-Apr-17
Rupeek,Talent Acquisition-North,13-Apr-17
J.P. Morgan,Associate,13-Apr-17
Polestar Solutions & Services India Pvt. Ltd.,Senior Analyst - Business Intelligence,11-Apr-17
Global ACT,Training Manager,11-Apr-17
Intellect Design Arena Ltd,Consultant,11-Apr-17
tribe,Brand Ambassador,11-Apr-17
Film Bunk,Video Production Planner,11-Apr-17
Amazon,SDE - 2,10-Apr-17
Deloitte Consulting,Business Technology Analyst,9-Apr-17
"Indian Institute of Technology, Madras",Research Intern,7-Apr-17
"National Institute of Technology, Tiruchirappalli",Research Scholar,4-Apr-17
Azent Overseas Education,Senior Software Engineer,4-Apr-17
Infosys,Systems Engineer,4-Apr-17
,,4-Apr-17
Swiggy,System Engineering Intern,4-Apr-17
Portraitflip,Co-Founder,4-Apr-17
Wipro Limited,Support Analyst,29-Mar-17
